Call,GOTA Call,Final Score,Category,Section,Power Multiplier,Club Name,Participants,Transmitters,Power Source,Total CW QSOs,Total Digital QSOs,Total Phone QSOs,Total QSOs,Bonus Points,Checklog Y/N
AA9L,,830,1D,WI,2,South Milwaukee Rockets,3,1,C,130,0,130,260,50,
AA9RK,,510,1E,WI,2,West Allis RAC,1,1,B,65,0,0,65,250,
AB0CD,,665,1E,CO,5,Colorado QRP Club,1,1,B,46,0,1,47,200,
AB1N,,286,1E,EMA,2,,1,1,B,15,0,38,53,150,
AB1XK,,376,1D,EMA,2,Cape Ann ARA,1,1,C,20,23,27,70,150,
AB2WZ,,192,1D,AL,2,,1,1,C,0,0,71,71,50,
AB4BA,,988,1E,CO,2,Parker Radio Assn.,1,1,B,0,207,5,212,150,
AB4EJ,,0,1E,AL,1,,1,1,G,0,0,202,202,0,Y
AB4WS,,72,1D,KY,2,Northern KY ARC,1,1,C,1,4,1,6,50,
AB4WV,,1126,2D,AL,2,ARC of Westminster Village,19,2,C,83,71,5,159,500,
AB5AA,,130,1D,STX,2,,1,1,C,20,0,0,20,50,
AB5KM,,0,1D,STX,0,,1,1,C,1,0,37,38,0,Y
AB5SE,,4070,1D,AR,2,,1,1,C,1005,0,0,1005,50,
AB5SJ,,0,1D,WTX,0,,1,1,C,0,0,312,312,0,Y
AB5UE,,2040,4A,STX,2,Boerne ARC,4,4,G,25,123,174,322,1100,
AB5WX,,242,1D,STX,2,,1,1,C,0,48,0,48,50,
AB6CQ,,1534,6A,LAX,2,LA CQ Club,12,6,B,29,2,30,61,1350,
AB6MV,,1464,3A,ORG,2,Moreno Valley ARA,15,3,B,28,255,41,324,250,
AB7HA,,292,1D,GA,2,,1,1,C,0,0,121,121,50,
AB7HP,,2786,5A,ID,2,HP Boise ARC,25,5,G,0,387,244,631,750,
AB7YL,,174,1B1,ID,2,,1,1,B,0,0,12,12,150,
AB8DE,,254,1E,OH,2,,1,1,B,3,12,22,37,150,
AB8DF,,1460,1B1B,MI,5,Michigan QRP Club,1,1,B,131,0,0,131,150,
AB8E,,882,3A,WV,2,,9,3,G,0,121,24,145,350,
AB8PS,,92,1D,MI,2,,1,1,C,0,0,21,21,50,
AB8YZ,,162,1D,NTX,2,,1,1,C,4,0,48,52,50,
AB9BZ,,520,1B1B,IL,5,American Legion Post 33 ARC,1,1,B,27,0,0,27,250,
AB9CA,,562,1E,IN,2,Orange Co. (IN) ARC,1,1,B,103,0,0,103,150,
AB9JT,,530,1E,IN,2,,1,1,G,0,120,0,120,50,
AB9M,,1050,1D,IL,2,,1,1,C,0,200,0,200,250,
AB9PN,,1283,1AC,WI,1,,3,1,C,526,0,181,707,50,
AB9UZ,,1688,3D,WI,2,,3,3,C,1,357,53,411,150,
AB9YC,,7166,1A,IL,2,Blazing Paddles FD Team,9,1,G,1381,58,10,1449,1390,
AC0WL,,392,1D,MO,2,,1,1,C,0,0,171,171,50,
AC1BB,,420,1E,IL,5,,1,1,B,17,0,0,17,250,
AC1KY,,420,1E,EMA,5,Framingham ARA,1,1,B,27,0,0,27,150,
AC1SE,,80,1D,WMA,2,Quaboag Valley ARC,1,1,C,0,0,15,15,50,
AC2N,,254,1E,NFL,2,,1,1,B,0,0,52,52,150,
AC2PT,,530,1E,SNJ,2,Gloucester Co. ARC,1,1,B,0,45,50,95,250,
AC2XC,,1218,1E,WNY,2,,1,1,O,0,235,64,299,150,
AC2ZZ,,156,1D,NNJ,2,,1,1,C,0,1,1,2,150,
AC3HO,,600,1F,WPA,5,McKean Co. ARC,1,1,B,0,15,0,15,450,
AC3HT,,418,1D,EPA,2,,1,1,C,0,0,184,184,50,
AC3LW,,438,1B1,SNJ,2,,1,1,B,0,6,32,38,350,
AC3MB,,196,1E,EPA,2,,1,1,B,0,0,73,73,50,
AC3MR,,170,1D,DE,2,,1,1,C,0,30,0,30,50,
AC3V,,300,1B1,WPA,2,POTA Prep,1,1,B,35,0,5,40,150,
AC4PQ,,402,1E,GA,2,,1,1,G,0,88,0,88,50,
AC4RC,,3522,3AC,NC,2,Azalea Coast ARC,14,3,C,199,0,988,1187,750,
AC4SW,,175,1B1B,VA,5,Rappahannock Valley ARC,1,1,B,0,0,5,5,150,
AC5LC,WA9JG,2610,2A,STX,2,Lake Conroe ARC,23,2,G,0,307,1,308,1380,
AC5MG,,274,1D,NTX,2,,1,1,C,0,56,0,56,50,
AC5XK,,342,1D,EMA,2,Barnstable ARC,1,1,C,66,1,12,79,50,Y
AC6EE,,1099,2A,SJV,2,Tehachapi ARA,18,2,G,0,88,81,169,585,
AC6MM,,310,1E,EB,2,South Bay ARA,1,1,B,0,0,30,30,250,
AC6NT,,1180,1E,TN,5,,1,1,B,113,0,0,113,50,
AC7A,,2510,1B1B,AZ,5,,1,1,B,236,0,0,236,150,
AC7CJ,,272,1D,EWA,2,,1,1,C,0,0,61,61,150,
AC7R,,398,2A,AZ,2,Mesa East Stake Training Net,5,2,B,0,0,24,24,350,
AC7SC,,678,2A,UT,2,Sevier ARC,8,2,B,0,0,44,44,590,
AC7TY,,116,1D,AZ,2,,1,1,C,15,0,3,18,50,
AC7YT,,1546,2A,UT,1,Traveling AR Team,4,2,G,0,0,1096,1096,450,
AC8AZ,,212,1E,MI,2,,1,1,B,10,0,11,21,150,
AC8NP,,586,1D,OH,2,Seneca RC,1,1,C,0,59,0,59,350,
AC8QX,,872,1B2,MI,2,,2,1,S,0,0,311,311,250,
AC8RC,W8RMN,1822,5A,MI,2,Allegan Co. ARC,24,5,G,0,28,180,208,1350,
AC9BJ,,1108,1B1,WI,2,Four Lakes ARC,1,1,B,98,0,183,281,350,
AC9JV,,320,1D,WI,2,Ozaukee RC,1,1,C,0,0,85,85,150,
AC9OT,,670,1B1B,SFL,5,,1,1,B,32,0,0,32,350,
AC9QN,,282,1B1,WI,2,,1,1,B,0,0,66,66,150,Y
AD0DA,,266,1D,UT,2,,1,1,C,0,53,2,55,50,
AD0G,,218,1E,ORG,2,,1,1,B,0,16,2,18,150,
AD0H,,362,1E,IA,2,,1,1,B,53,0,0,53,150,
AD0RR,,0,1D,MO,1,,1,1,C,0,0,78,78,0,Y
AD0YM,,150,1D,IA,2,Mid-MO ARC,1,1,C,25,0,0,25,50,
AD1L,,430,1E,WMA,2,,1,1,G,62,0,16,78,150,
AD1T,,1382,5A,NH,2,Cheshire Co. DX ARC,26,5,G,0,0,166,166,1050,
AD2L,,358,1B1C,EPA,2,,1,1,C,0,77,0,77,50,
AD3Y,,280,1D,SNJ,2,South Jersey Radio Assn.,1,1,C,9,47,3,59,50,
AD4GG,,352,1E,TN,2,,1,1,B,0,0,101,101,150,
AD4IE,,410,1E,NC,2,,1,1,B,80,0,20,100,50,
AD4IV,,94,1D,MS,2,,1,1,C,2,0,18,20,50,
AD5CL,,818,3A,OK,2,Pontotoc Co. ARA,6,3,B,0,4,26,30,750,
AD5DJ,,170,1D,NTX,2,,1,1,C,0,0,60,60,50,
AD5EN,,614,1B1,SC,2,Sun City Hilton Head ARC,1,1,B,0,116,0,116,150,
AD5EO,,400,1A,AR,2,Saline Co. ARES,4,1,B,10,0,5,15,350,
AD5Q,,7518,1D,NTX,2,Brazos Valley ARC,1,1,C,1867,0,0,1867,50,
AD5QU,,200,1B1B,NTX,5,,1,1,B,0,0,20,20,100,
AD5XD,,1002,1D,NTX,2,Collins ARC,1,1,C,0,180,116,296,50,
AD6AD,,66,1D,SV,2,,1,1,C,0,0,8,8,50,
AD6IZ,,466,2E,LAX,2,Crescenta Valley Radio Club,10,2,B,0,0,108,108,250,
AD6TW,,295,1E,SB,5,Conejo Valley ARC,1,1,B,4,0,1,5,250,
AD7DD,,1451,1B1,ID,1,,1,1,G,0,500,1,501,450,
AD7KG,,956,1B1,UT,2,,1,1,G,153,19,9,181,250,
AD7LL,,682,1D,NM,2,,1,1,C,0,157,2,159,50,
AD7N,,3778,2A,ID,2,Steiner-Johnson Family Geekenders,5,2,G,612,161,158,931,370,
AD7NP,,226,1D,WWA,2,,1,1,C,0,44,0,44,50,
AD7OY,,290,1A,NV,2,Great Basin ARC,3,1,G,0,0,20,20,250,
AD8MD,,104,1D,OH,2,,1,1,C,0,0,27,27,50,
AD8MP,,536,1E,MI,2,,1,1,B,0,0,68,68,400,
AD8OD,,1490,1E,MI,5,Who Cares ARG,1,1,B,0,104,0,104,450,
AD8Q,,280,1E,ID,5,,1,1,B,0,0,6,6,250,
AD9CA,,388,1C,IL,2,,1,1,B,64,0,41,105,50,
AD9FW,,282,1B1,IN,2,,1,1,B,0,0,16,16,250,
AD9L,W9GRS,1123,2A,IL,2,Iroquois Co. ARC,11,2,B,0,0,39,39,1045,
AE0BO,,190,1B1,MN,2,,1,1,B,0,10,0,10,150,
AE0DC,,856,1E,MO,2,,1,1,B,0,0,403,403,50,
AE0UZ,,60,3A,MN,2,,3,3,B,0,0,5,5,50,
AE0VC,,354,1B1,CO,2,,1,1,B,0,51,0,51,150,
AE0YE,,414,3A,MN,2,,3,3,B,0,6,20,26,350,
AE1D,,370,1D,NH,2,,1,1,C,67,0,26,93,50,
AE1MV,,1282,1D,NNY,2,,1,1,C,148,35,200,383,150,
AE1P,,950,1B1,AZ,2,Cheshire Co. DX ARC,1,1,B,35,49,232,316,150,
AE1T,,350,1D,NH,2,,1,1,C,75,0,0,75,50,
AE2T,,1390,1E,WNY,5,,1,1,B,114,0,0,114,250,
AE4AL,,174,1D,AL,2,Univ. of Alabama ARC,7,1,C,0,24,14,38,50,
AE4GS,,950,1D,TN,2,Cleveland ARC,1,1,C,200,0,0,200,150,
AE4GW,,120,1D,TN,2,,1,1,C,0,0,35,35,50,
AE4S,,106,1D,NFL,2,Tallahassee ARS,1,1,C,0,14,0,14,50,
AE4WX,,1288,1E,NC,2,,3,1,B,0,172,0,172,600,
AE5FM,,1682,1D,NTX,2,Richardson Wireless Klub,1,1,C,0,408,0,408,50,
AE5JE,,336,1D,STX,2,,1,1,C,40,0,63,103,50,
AE5MM,,730,1E,OK,2,,1,1,G,120,0,0,120,250,
AE5T,,202,1D,LA,2,,1,1,C,0,0,76,76,50,
AE5TG,,466,1D,STX,2,Brazos Valley ARC,1,1,C,0,104,0,104,50,
AE6DB,,464,1B1,ORG,2,,1,1,B,0,0,57,57,350,
AE6JG,,140,1D,SV,2,,1,1,C,21,0,3,24,50,
AE6NN (+W6BCE),,500,1B2C,LAX,2,The Beekers,2,1,C,67,8,0,75,200,
AE9DR,,168,1B1C,OH,2,,1,1,C,0,0,59,59,50,
AE9Q,,150,1D,AZ,2,Tortolita Radio Club,1,1,C,0,25,0,25,50,
AF0BB,,254,1B1C,MO,2,,1,1,C,0,0,102,102,50,
AF0E,,2286,1B1,CO,2,,1,1,G,534,0,0,534,150,
AF0F,,808,1B1,KS,2,,1,1,B,0,120,39,159,250,Y
AF0S,WA0VTU,3255,2A,CO,2,Pikes Peak Radio Amateur Assn.,21,2,G,140,225,195,560,1405,
AF0XS,,52,1D,CO,2,Longmont ARC,1,1,C,0,0,1,1,50,
AF2A,AD2DD,3444,4A,WNY,2,Tompkins Co. ARA,23,4,G,205,27,433,665,1650,
AF4CM,,3590,1B1B,NC,5,,1,1,B,179,130,0,309,500,
AF4K,,1864,1E,NC,2,,1,1,B,0,291,0,291,700,
AF4T,,662,1D,TN,2,Tennessee Contest Grp.,1,1,C,153,0,0,153,50,
AF5CC,,150,1D,OK,2,,1,1,C,0,25,0,25,50,
AF5J,,594,1D,STX,2,Brazos Valley ARC,1,1,C,136,0,0,136,50,
AF5SW,,170,1D,OK,2,,1,1,C,0,0,60,60,50,
AF6IE (+W6VG),,1056,1B2,SCV,2,SC4 ARC,2,1,S,0,64,0,64,800,
AF6ZF,AJ6DU,1289,2A,SCV,2,San Jose ARES/RACES,10,2,G,0,81,70,151,825,
AF7Z,,964,1E,UT,2,,1,1,B,83,55,131,269,150,
AF8C,,58,1D,OH,2,,1,1,C,0,2,0,2,50,
AF8P,,626,2A,MI,2,Bald Mountain Wireless,4,2,B,38,0,12,50,450,
AF8WX,,98,1D,OH,2,,1,1,C,0,0,24,24,50,
AF9FA,,158,1E,WI,2,,1,1,B,2,0,0,2,150,
AF9J,,600,1E,WI,5,,1,1,B,55,0,0,55,50,
AG1T,,1154,1B1,UT,2,,1,1,B,0,226,0,226,250,
AG4H,,218,1E,AL,2,Tuscaloosa ARC,1,1,G,0,6,22,28,150,
AG4HG,,552,1D,TN,2,,1,1,C,0,0,251,251,50,
AG5PC,,526,1D,NTX,2,,1,1,C,0,118,2,120,50,
AG6AR,,1016,3A,SV,2,Glenn ARS,6,3,G,0,0,83,83,850,
AG6AU,W6QA,6253,5A,SV,2,El Dorado Co. ARC,21,5,G,468,176,921,1565,1835,
AG6FK,,330,1E,SCV,5,,1,1,B,0,1,0,1,320,
AG6JA,,382,1D,EB,2,,1,1,C,16,47,40,103,50,
AG6UL,,512,1E,SDG,2,,1,1,B,0,0,6,6,500,
AG7AB,,186,1D,AZ,2,Kachina ARC,1,1,C,16,18,0,34,50,
AG7E,,386,1D,NV,2,,1,1,C,0,83,2,85,50,Y
AG7LR,,486,1B1,EWA,2,,1,1,B,0,84,0,84,150,
AG7NR/M,,998,1C,WWA,2,Mike & Key ARC,1,1,B,212,0,0,212,150,
AG7RF,,182,1D,ID,2,,1,1,C,0,0,66,66,50,
AG7T,,1308,1B1,WWA,2,Mike & Key ARC,1,1,G,0,202,0,202,500,
AG7TX,,844,1B1,NV,2,,1,1,B,122,0,3,125,350,
AG7YM,,90,1E,WWA,2,,1,1,B,0,0,20,20,50,
AG7ZJ,,306,1B1,MT,2,Hi-Line ARC,1,1,G,0,0,28,28,250,
AGA8M,,82,1D,OH,2,,1,1,C,0,0,16,16,50,
AH6X,,1100,1B1B,ID,5,,1,1,B,0,85,0,85,250,
AH7RF,,2522,2A,PAC,2,,3,2,G,543,0,0,543,350,Y
AI0E,,498,3A,KS,2,Neosho Co. ARC,11,3,G,0,0,14,14,470,
AI1G,,90,1D,WMA,2,Central MA ARA,1,1,C,0,0,20,20,50,
AI2N,,0,1D,WNY,1,Rochester (NY) DX Assn.,1,1,C,50,0,0,50,0,Y
AI3KS,,1570,1E,EPA,2,,1,1,B,92,163,0,255,550,
AI4BJ,,1322,1B1,KY,2,Northern KY ARC,1,1,B,193,0,100,293,350,
AI4EW,,192,1E,NC,2,,1,1,B,0,0,21,21,150,
AI4IC,,810,1D,TN,2,,1,1,C,169,0,42,211,50,
AI4TM,,1246,1D,TN,2,,1,1,C,0,299,0,299,50,
AI4WM,,585,1E,MI,5,,1,1,B,0,0,57,57,300,
AI4WW,,306,1D,SFL,2,,1,1,C,0,64,0,64,50,
AI5BE,,120,1D,MS,2,,1,1,C,15,0,5,20,50,
AI5DE,,2422,1B1,NM,2,Mesilla Valley RC,1,1,B,0,593,0,593,50,
AI5DQ,,366,1D,LA,2,Shreveport ARA,1,1,C,0,0,98,98,170,
AI5FK,,186,1E,AL,2,,1,1,B,0,0,18,18,150,
AI5NQ,,444,1B1,NTX,2,,1,1,B,0,0,47,47,350,
AI5QC,,264,1B1,NTX,2,,1,1,B,0,0,7,7,250,
AI5QK,,266,1D,NTX,2,Dallas ARC,1,1,C,22,7,0,29,150,
AI6DO,,700,2E,LAX,5,Southern CA Contest Club,1,2,B,44,0,2,46,250,
AI6O,,2076,1D,MO,2,Kansas City Contest Club,1,1,C,461,0,91,552,50,
AI6YR,,450,1B1B,SB,5,Conejo Valley ARC,1,1,B,3,0,14,17,350,
AI6ZV,,280,1B1B,ORG,5,,1,1,B,13,0,0,13,150,
AI7D,,150,1D,MT,2,,1,1,C,0,0,50,50,50,
AI7EQ,,102,1D,OR,2,,1,1,C,0,0,26,26,50,
AI7FF,,156,1D,MT,2,Yellowstone Radio Club/Musselshell ARC,1,1,C,23,0,7,30,50,
AI7LH,,442,1B1,OR,2,,1,1,B,0,73,0,73,150,
AI7OL,,342,1B1,OR,2,,1,1,G,33,0,5,38,200,
AI7QF,,146,1D,WWA,2,,1,1,C,0,0,48,48,50,
AI8Z,,3082,4A,CO,2,Mesa Verde RA Grp.,6,4,G,443,174,132,749,350,
AI9K,,260,1E,IL,5,,1,1,B,21,0,0,21,50,
AJ0GM,,1740,1B1B,SD,5,Black Hills ARC,1,1,B,0,149,0,149,250,
AJ4A,,12400,6A,KY,2,Central KY ARS,25,6,G,1271,701,1331,3303,1850,
AJ4BB,,378,1D,NV,2,,1,1,C,47,3,14,64,150,
AJ4EE,,90,1D,NFL,2,,1,1,C,0,0,20,20,50,
AJ4EY,,316,1E,VA,2,,1,1,G,0,0,33,33,250,
AJ4F,,334,1B1,TN,2,,1,1,B,0,71,0,71,50,
AJ4HW,,394,1D,TN,2,E. Tennessee DX Assoc.,1,1,C,0,86,0,86,50,
AJ4IR,,654,2AC,SFL,1,Indian River ARC,9,2,C,157,0,90,247,250,
AJ6NM,,468,1B1,SJV,2,,1,1,B,0,59,41,100,150,
AJ6RX,,685,2B1B,ORG,5,,1,2,B,0,15,17,32,450,
AJ6V,,1050,1D,SCV,2,,1,1,C,250,0,0,250,50,
AJ7KW,,250,1D,WWA,2,,1,1,C,0,50,0,50,50,
AK0BC,,252,1B1,CO,2,,1,1,B,25,0,1,26,150,
AK0M,,1160,1B1B,IA,5,,1,1,B,101,0,0,101,150,
AK1MD,,1366,1D,EMA,2,Yankee Clipper Contest Club,1,1,C,329,0,0,329,50,
AK1X (+W1ASP),,950,2B2,VT,2,,2,2,B,0,0,350,350,250,
AK2L,,478,1D,AZ,2,Oro Valley ARC,1,1,C,0,82,0,82,150,
AK2S,,3980,2E,SNJ,5,Burlington Co. RC,3,2,B,256,59,6,321,800,
AK2U,,162,1D,WV,2,,1,1,C,28,0,0,28,50,
AK3Y,,866,1E,MDC,2,,1,1,B,0,179,0,179,150,
AK4D,,1614,1D,NC,2,Forsyth ARC,1,1,C,0,366,0,366,150,
AK4NF (+AK4NG),,976,1B2,AL,2,,2,1,B,0,119,0,119,500,
AK6ID,,220,2D,LAX,2,,1,2,C,0,38,9,47,50,
AK6IY,,240,1B1B,LAX,5,,1,1,B,9,0,0,9,150,
AK6LW,,0,1E,SCV,1,,1,1,B,0,0,6,6,0,Y
AK6RI,,602,1E,SCV,2,,1,1,B,0,113,0,113,150,
AK7AT,,1258,1E,ID,2,,1,1,G,0,277,0,277,150,
AK8CZ,,800,1E,OH,2,,3,1,G,0,0,255,255,290,
AK9D,,2970,2D,KS,2,Dog Hollow Contest Grp.,2,2,C,0,705,0,705,150,
AL4US,WA4SRS,1500,6A,TN,2,American Legion Post 104 ARC,40,6,G,0,0,85,85,1330,
AL7ID,,62,1B1,AK,2,,1,1,S,0,0,6,6,50,
AL7JK,,220,1B1B,AK,5,,1,1,B,7,0,0,7,150,
AL7JX,,114,1D,AK,2,,1,1,C,9,2,10,21,50,
AL7LE,,1282,1A,AK,2,Moosehorn ARC,12,1,G,37,36,160,233,670,
AL9D,,364,2B1,AK,2,,1,2,B,0,0,7,7,350,
CE3FJK,,118,1D,DX,2,,1,1,C,17,0,0,17,50,
CE3PCG,,502,1D,DX,2,Chilean Pacific DX Grp.,1,1,C,0,88,0,88,150,
CO2QU,,1226,1E,DX,2,710 Contest Grp.,1,1,B,0,269,0,269,150,Y
DL2NBY,,314,1D,DX,2,,1,1,C,66,0,0,66,50,Y
DL8UKW,,178,1D,DX,2,,1,1,C,32,0,0,32,50,Y
F6KRK,,0,1D,DX,0,,2,1,C,69,0,0,69,0,Y
G4BJM,,0,1D,DX,0,,1,1,C,54,0,0,54,0,Y
G4GIR,,150,1D,DX,2,G4MBC Contest Grp.,1,1,C,25,0,0,25,50,Y
G6DXY,,238,1D,DX,2,,1,1,C,0,47,0,47,50,Y
HJ3KOS,,52,1D,DX,2,,1,1,C,0,0,1,1,50,
HP1IBF,,170,1D,DX,2,,1,1,C,30,0,0,30,50,
JA9LX,,266,1D,DX,2,,1,1,C,0,54,0,54,50,Y
JF1TEU,,186,1D,DX,2,,1,1,C,0,34,0,34,50,Y
JF2FIU,,0,1D,DX,0,,1,1,C,7,0,0,7,0,Y
JH7RTQ,,986,1D,DX,2,,1,1,C,0,234,0,234,50,Y
JI2IXA,,298,1D,DX,2,,1,1,C,0,62,0,62,50,Y
JO7KMB,,0,1D,DX,1,,1,1,C,3,60,0,63,0,Y
K0AD,,4316,1D,MN,2,,1,1,C,1004,0,75,1079,150,
K0AIZ,,152,1D,NE,2,,1,1,C,0,0,51,51,50,
K0AJW,K0MDF,4981,1A,ND,2,Souris Valley ARC,21,1,G,112,263,663,1038,2155,
K0AMC,,340,1A,MO,2,Ancient Modulators,10,1,B,0,3,39,42,250,
K0ANT,,2534,3A,KS,2,The Kansas Antenna Club in Johnson Co.,13,3,S,172,246,46,464,770,
K0APR,,474,1F,MN,2,,1,1,C,0,81,0,81,150,
K0AUG,,266,1B1,WI,2,Minnesota Wireless Assn.,1,1,B,0,22,14,36,150,
K0BF,,612,1E,CO,2,,1,1,G,14,59,85,158,150,Y
K0BH,,4146,1B1,CO,2,,1,1,B,974,0,0,974,250,
K0BIE,,1058,1E,OH,2,Splinter Grp. ARC,1,1,G,0,202,0,202,250,
K0CBV,,150,1B1B,MO,5,Central MO Radio Assn.,1,1,B,0,0,20,20,50,
K0DCI,,870,3A,IA,2,HARC/Dallas Co. ARES,5,3,B,22,0,16,38,750,
K0DJD,,156,1D,MN,2,Minnesota Wireless Assn.,1,1,C,0,25,3,28,50,
K0EKA,,310,1D,CO,2,,1,1,C,0,65,0,65,50,
K0EMT,,280,1D,IN,2,Mid-MO ARC,1,1,C,55,0,5,60,50,
K0EOR,KF0HOG,2034,3A,MO,2,Eastern Ozarks ARC,6,3,B,0,215,27,242,1120,
K0EWS,,234,1D,IA,2,,1,1,C,46,0,0,46,50,
K0FBL,,764,2A,MN,2,River Bend Wireless and Mechanical Soc.,5,2,B,51,0,5,56,550,
K0FJ,,770,1E,KS,2,,1,1,G,0,180,0,180,50,
K0FNS,,65,1B1B,CO,5,Frank Noel Stubblefield,1,1,B,0,0,3,3,50,
K0FV,W0BRC,1680,2F,MO,2,Boonville ARC,9,2,G,12,209,58,279,680,
K0GAH,,250,1D,IN,2,,1,1,C,0,50,0,50,50,
K0GMK,,182,1D,MN,2,Rochester ARC,1,1,C,0,33,0,33,50,
K0GOB,,156,1D,MO,2,,1,1,C,0,0,53,53,50,
K0GPZ,,716,3A,MN,2,Northern Lakes ARC,6,3,G,1,0,31,32,650,
K0GQ,,1250,2A,MO,2,Raytown ARC,34,2,G,48,0,104,152,850,
K0GR (+W0YR),,1786,1B2,MN,2,,2,1,B,0,0,818,818,150,
K0HK,,1390,1E,KS,5,Atchison Co. ARS,1,1,B,104,0,0,104,350,
K0HNY,,2106,6A,MN,2,Owatonna Steele Co. ARC,32,6,G,71,310,166,547,250,
K0IIT,AA0EL,5744,2A,CO,2,Montrose ARC,72,2,G,654,144,321,1119,1910,
K0IL,,1266,1D,NE,2,Heartland DX Assn.,1,1,C,304,0,0,304,50,
K0K,KS3CKC,3533,4A,KS,2,SecKC ARC of Kansas City,12,4,G,68,309,260,637,1505,
K0KDS,,688,1D,IA,2,,1,1,C,0,86,32,118,280,
K0KKV,K0SMM,3364,3A,NE,2,Lincoln ARC,47,3,G,358,149,143,650,1050,
K0KPS,,174,1D,CO,2,,1,1,C,0,31,0,31,50,
K0LAR,,918,1D,MN,2,,1,1,C,192,0,0,192,150,
"K0LD (WA0MHJ, op)",,206,1B1,MN,2,MWA Team North,1,1,G,14,0,0,14,150,
K0LIR,,9016,3A,MO,2,St. Louis ARC,22,3,G,1120,512,719,2351,1050,
K0LTC,K0YTH,1622,3A,MN,2,Maple Grove RC,35,3,G,0,70,81,151,1180,
K0MIS,,188,1E,CO,2,,1,1,B,0,0,19,19,150,
K0MPH,,1052,1D,MN,2,,1,1,C,250,0,1,251,50,
K0ND,,990,2A,ND,2,Teddy Roosevelt ARC,29,2,G,0,0,200,200,590,
K0NRA,,398,1B1C,SD,2,Northern CO ARC,1,1,C,0,87,0,87,50,
K0OJ,,1490,2A,CO,2,Weld ARS,21,2,G,0,111,198,309,650,
K0OV,,490,1AC,ORG,2,Morningside Mischief Makers,3,1,C,55,0,60,115,150,
K0PC,,1400,1B1B,MN,5,,1,1,B,115,0,0,115,250,
K0PEA,,914,2A,IA,2,Pella ARC,18,2,B,30,12,28,70,690,
K0PPE,,402,1B1,SD,2,,1,1,B,0,0,76,76,250,
